Epoch,Train Loss,Val Loss,Bleu Score
0,1.1473613110974954,1.0487625088010515,0.8459283014379813
1,1.0855439493831354,1.0268790825964913,0.8478518206384678
2,1.0228759172244575,1.000293685330285,0.8493772492542663
3,0.9588496467937677,0.9837702143759954,0.8507537067172597
4,0.8934593731983782,0.9638006005968366,0.8518929624463691
5,0.8261519424831525,0.9470312425068447,0.853396915749223
6,0.7597840451203977,0.9350887801912096,0.8538918250899918
7,0.6942025446853699,0.9306904957407997,0.855541886057239
8,0.6296985186517429,0.9221863519577753,0.8560624439586819
9,0.5682929139167737,0.9129651359149388,0.8571444650220755
10,0.508856862783432,0.9142222896454826,0.8582566181998053
11,0.4518268387348126,0.9057252161086552,0.8583387819073743
12,0.3989228697630544,0.9060866993571085,0.85893844221809
13,0.34858491121770474,0.8995294466851249,0.8592886510798134
14,0.30052875006160795,0.9042519132296244,0.8599242886567235
15,0.25687847012719406,0.9023677933783758,0.8601372214532198
16,0.21673967858282522,0.9027833030337379,0.8606697470097701
17,0.18063886375568164,0.905561554053473,0.8611821617878145
18,0.14856185559361887,0.9017455738688273,0.8610762101638523
19,0.1212082272663284,0.9021870588499402,0.861304966940878
20,0.0990578496751313,0.9086654545768859,0.8616749199472612
21,0.08115321448959481,0.9027387178133405,0.8623107070923204
22,0.06739394332225711,0.9052990495212494,0.8619099051792577
23,0.05712220096550049,0.9050195377970499,0.8625595128376579
24,0.04963546380186424,0.9041524964665609,0.862658232846634
25,0.04427996968118528,0.9082573292747377,0.862865498734185
26,0.03959855242087818,0.9062462799132817,0.8628409243805061
27,0.03656664382690153,0.9160795429396251,0.8634435148548364
28,0.034277616160960436,0.909027289776575,0.8638689022254455
29,0.03169465709489565,0.9017133618158008,0.8635710163654479
30,0.02988228081359555,0.906459663595472,0.8639446841424113
31,0.02822710558795891,0.9100631721436031,0.8642960579713781
32,0.026722791658256192,0.9055500191355509,0.8638046942296862
33,0.0258582555495512,0.9078686284640479,0.8647665738037094
34,0.024338906929908564,0.90454967343618,0.864805652316354
35,0.023634330467722668,0.9008098064907013,0.8650614120343146
36,0.022329527765702895,0.9007848160607475,0.8643519922725612
37,0.02167379010480623,0.9071232193992251,0.8653377246198877
38,0.020330252694174315,0.9014225564305745,0.8654099722089532
39,0.019469208393495877,0.9078009724617004,0.8657011378485965
