Epoch,Train Loss,Val Loss,Bleu Score,Time Taken
0,1.7180381628651968,1.3054461621102833,0.835639178409488,80.71048259735107
1,1.4895943239474068,1.2469969571582855,0.83628105834126,81.38376522064209
2,1.416064878622183,1.2021622004963102,0.8398210876559269,81.72286796569824
3,1.3526735023949474,1.1649874874523707,0.8405600219543998,81.93431258201599
4,1.2934368235615497,1.1299829520876445,0.8418821066714366,81.93527340888977
5,1.235272019815902,1.109479236224341,0.8435911274522573,81.93004488945007
6,1.1776041470396632,1.0727793725710066,0.8444558729533871,81.86270403862
7,1.1183141696567354,1.045192315464928,0.8461158489657731,82.02509045600891
8,1.0570915830782808,1.0224246316485934,0.8475249471593652,81.91499257087708
9,0.9944477717335612,1.0035277709128365,0.8499223137563396,81.98953890800476
10,0.9298062713001483,0.9776697508872502,0.8505733877630642,82.12838459014893
11,0.8634807926397354,0.9583977593315972,0.8524050470541832,81.9961347579956
12,0.7978552745554013,0.9429879396680801,0.8533599157049306,82.07858443260193
13,0.7330514784819021,0.9308084713088142,0.8537518293480614,81.92318964004517
14,0.6681971647107182,0.9222107340419103,0.855189364046007,81.67622995376587
15,0.6064607609575168,0.914420811902909,0.8554243834552147,81.74324560165405
16,0.5469509690714339,0.9235933716334994,0.8570093931150141,81.81848216056824
17,0.49010840020240687,0.9096149452148922,0.8578731938373061,81.44710898399353
18,0.4338604347012675,0.9023430423131065,0.858091312415634,81.57421708106995
19,0.3816235927156747,0.9013828323000953,0.8590069296114662,81.1402440071106
20,0.332936223227376,0.8927043808831109,0.8586128297453616,80.40300369262695
21,0.28676305087610554,0.9005023770862155,0.8597425330256699,81.37973976135254
22,0.24405205278350903,0.8911304994234963,0.8599474187684979,81.28394603729248
23,0.20481719057590436,0.8960654470655653,0.8605586508334763,81.42952609062195
24,0.169712452271495,0.891931446771773,0.8605508237780746,80.7391905784607
25,0.13931855264182288,0.905154476090083,0.861117545105931,81.6186785697937
26,0.11360497529895161,0.8921129164241609,0.8611622587252409,81.51776361465454
27,0.09234518232865456,0.9013049678196983,0.8619480172174281,81.51212620735168
28,0.0757325589537811,0.8935379896845136,0.861648640099879,80.862637758255
29,0.06271993827681763,0.8942159433213491,0.8620926324444891,81.64296078681946
30,0.05328209326861385,0.9035421061137366,0.862351348711052,81.4161868095398
31,0.04619660836082107,0.8872605070235238,0.8628788945278169,81.62953233718872
32,0.041757562456610865,0.8954907986852858,0.8626186193805829,81.40173292160034
33,0.038291261885493706,0.8899071367960127,0.8630631243672409,81.86713290214539
34,0.03438919824295151,0.8939643615768069,0.8633710505299286,82.06307649612427
35,0.03214392445076959,0.9011462321357121,0.863703431535112,82.1173026561737
36,0.029697558304039053,0.8900038401285807,0.8636993375479768,81.56202745437622
37,0.027944440971286344,0.8916075655392238,0.864174914069389,82.19458603858948
38,0.026454266297598235,0.8958674763876294,0.8645579793622789,82.10752511024475
39,0.025490291366062033,0.9025827570567055,0.864633178887498,82.07407712936401
